Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,upsilon_disk,upsilon_bulge
0.16,3.0414050107253128,0.14978810090182731,1.86,3.75,0.0,30.32,0.0,CamB,0.3911382526913817,0.6991564295732948
0.41,6.911384416962928,0.3645241889927814,4.24,9.47,0.0,23.77,0.0,CamB,0.3911382526913817,0.6991564295732948
0.57,9.607648082793839,0.463009116868528,5.61,11.76,0.0,15.87,0.0,CamB,0.3911382526913817,0.6991564295732948
0.73,11.458346041279281,0.5471841947180283,6.77,13.72,0.0,12.4,0.0,CamB,0.3911382526913817,0.6991564295732948
0.9,10.923352354590271,0.60520658490749,7.77,14.8,0.0,9.63,0.0,CamB,0.3911382526913817,0.6991564295732948
1.06,11.925616299314495,0.6378078291901099,8.44,15.24,0.0,5.86,0.0,CamB,0.3911382526913817,0.6991564295732948
1.22,12.919518468829613,0.6418730579161697,8.64,15.11,0.0,5.19,0.0,CamB,0.3911382526913817,0.6991564295732948
1.47,12.657547082109291,0.6430452692526005,8.08,15.9,0.0,3.02,0.0,CamB,0.3911382526913817,0.6991564295732948
1.79,11.674750710423702,0.5842283211232681,6.91,14.91,0.0,0.88,0.0,CamB,0.3911382526913817,0.6991564295732948
0.51,8.483650403680421,0.4430808934636743,3.47,6.36,0.0,6.37,0.0,D564-8,0.505439091902537,0.7031626991179729
1.02,15.530528721310535,0.7438207145631347,5.33,8.66,0.0,2.82,0.0,D564-8,0.505439091902537,0.7031626991179729
1.53,19.748810339080222,0.9504768553103965,6.34,9.09,0.0,1.19,0.0,D564-8,0.505439091902537,0.7031626991179729
2.04,21.967263823497586,1.0947488396979002,6.86,8.75,0.0,0.52,0.0,D564-8,0.505439091902537,0.7031626991179729
2.56,25.351264065401256,1.1999325334081048,7.05,8.17,0.0,0.22,0.0,D564-8,0.505439091902537,0.7031626991179729
3.07,26.132047580039043,1.2767575743128365,7.04,7.65,0.0,0.0,0.0,D564-8,0.505439091902537,0.7031626991179729
0.45,11.428028716594817,0.5970536195923856,8.4,9.99,0.0,26.06,0.0,D631-7,0.4041956764669195,0.6946125185170313
0.9,20.485695320143314,1.0057413700673388,13.51,15.52,0.0,19.64,0.0,D631-7,0.4041956764669195,0.6946125185170313
1.35,25.66088765044217,1.347656606095994,16.7,20.76,0.0,12.17,0.0,D631-7,0.4041956764669195,0.6946125185170313
1.8,33.0817411844749,1.5844921776787013,18.72,21.37,0.0,4.5,0.0,D631-7,0.4041956764669195,0.6946125185170313
2.25,35.390801806987625,1.773968439870451,19.9,19.92,0.0,2.1,0.0,D631-7,0.4041956764669195,0.6946125185170313
2.69,38.67555324777954,1.951818551924994,20.61,18.76,0.0,1.13,0.0,D631-7,0.4041956764669195,0.6946125185170313
3.14,40.827349311830865,2.1133185163163275,20.73,17.36,0.0,0.54,0.0,D631-7,0.4041956764669195,0.6946125185170313
3.59,48.10886189872349,2.2668756361922724,20.61,16.32,0.0,0.37,0.0,D631-7,0.4041956764669195,0.6946125185170313
4.04,47.85152038361262,2.411206140987023,20.38,15.37,0.0,0.18,0.0,D631-7,0.4041956764669195,0.6946125185170313
4.49,49.760885268139795,2.5424953379553026,19.9,14.49,0.0,0.1,0.0,D631-7,0.4041956764669195,0.6946125185170313
4.94,52.38315460238372,2.666098873228314,19.43,13.72,0.0,0.05,0.0,D631-7,0.4041956764669195,0.6946125185170313
5.39,57.068514214926154,2.7794493887263245,18.84,13.04,0.0,0.03,0.0,D631-7,0.4041956764669195,0.6946125185170313
5.84,58.754587098691594,2.885013796556576,18.25,12.45,0.0,0.01,0.0,D631-7,0.4041956764669195,0.6946125185170313
6.29,60.88902356361527,2.982894290646107,17.65,11.93,0.0,0.01,0.0,D631-7,0.4041956764669195,0.6946125185170313
6.74,62.80150078954712,3.0738608487784855,17.06,11.48,0.0,0.0,0.0,D631-7,0.4041956764669195,0.6946125185170313
7.19,69.92771155016938,3.1581981978351195,16.47,11.08,0.0,0.0,0.0,D631-7,0.4041956764669195,0.6946125185170313
0.1,2.877562583046466,0.1468624851170805,-1.13,1.96,0.0,28.5,0.0,DDO064,0.5165764480366655,0.6982614455618932
0.3,8.933621071090132,0.4584222261643812,-2.45,6.31,0.0,27.26,0.0,DDO064,0.5165764480366655,0.6982614455618932
0.49,14.39223385413781,0.7501336062732611,-0.64,9.67,0.0,24.99,0.0,DDO064,0.5165764480366655,0.6982614455618932
