Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,upsilon_disk,upsilon_bulge
0.16,2.995762018036546,1.5,1.86,3.75,0.0,30.32,0.0,CamB,0.3911382526913817,0.6991564295732948
0.41,7.290483779855627,1.5,4.24,9.47,0.0,23.77,0.0,CamB,0.3911382526913817,0.6991564295732948
0.57,9.260182337370559,1.5,5.61,11.76,0.0,15.87,0.0,CamB,0.3911382526913817,0.6991564295732948
0.73,10.943683894360563,1.5,6.77,13.72,0.0,12.4,0.0,CamB,0.3911382526913817,0.6991564295732948
0.9,12.1041316981498,1.5,7.77,14.8,0.0,9.63,0.0,CamB,0.3911382526913817,0.6991564295732948
1.06,12.756156583802195,1.5,8.44,15.24,0.0,5.86,0.0,CamB,0.3911382526913817,0.6991564295732948
1.22,12.837461158323391,1.5,8.64,15.11,0.0,5.19,0.0,CamB,0.3911382526913817,0.6991564295732948
1.47,12.86090538505201,1.5,8.08,15.9,0.0,3.02,0.0,CamB,0.3911382526913817,0.6991564295732948
1.79,11.68456642246536,1.5,6.91,14.91,0.0,0.88,0.0,CamB,0.3911382526913817,0.6991564295732948
0.51,8.861617869273486,1.53,3.47,6.36,0.0,6.37,0.0,D564-8,0.505439091902537,0.7031626991179729
1.02,14.876414291262693,1.41,5.33,8.66,0.0,2.82,0.0,D564-8,0.505439091902537,0.7031626991179729
1.53,19.00953710620793,1.8,6.34,9.09,0.0,1.19,0.0,D564-8,0.505439091902537,0.7031626991179729
2.04,21.894976793957998,1.82,6.86,8.75,0.0,0.52,0.0,D564-8,0.505439091902537,0.7031626991179729
2.56,23.998650668162096,1.89,7.05,8.17,0.0,0.22,0.0,D564-8,0.505439091902537,0.7031626991179729
3.07,25.53515148625673,2.05,7.04,7.65,0.0,0.0,0.0,D564-8,0.505439091902537,0.7031626991179729
