Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,upsilon_disk,upsilon_bulge
0.16,3.0140192151120533,0.059915240360730926,1.86,3.75,0.0,30.32,0.0,CamB,0.3911382526913817,0.6991564295732948
0.41,7.138844034698548,0.14580967559711255,4.24,9.47,0.0,23.77,0.0,CamB,0.3911382526913817,0.6991564295732948
0.57,9.399168635539871,0.18520364674741122,5.61,11.76,0.0,15.87,0.0,CamB,0.3911382526913817,0.6991564295732948
0.73,11.14954875312805,0.2188736778872113,6.77,13.72,0.0,12.4,0.0,CamB,0.3911382526913817,0.6991564295732948
0.9,11.631819960725988,0.242082633962996,7.77,14.8,0.0,9.63,0.0,CamB,0.3911382526913817,0.6991564295732948
1.06,12.423940470007116,0.25512313167604395,8.44,15.24,0.0,5.86,0.0,CamB,0.3911382526913817,0.6991564295732948
1.22,12.870284082525883,0.25674922316646787,8.64,15.11,0.0,5.19,0.0,CamB,0.3911382526913817,0.6991564295732948
1.47,12.779562063874923,0.2572181077010402,8.08,15.9,0.0,3.02,0.0,CamB,0.3911382526913817,0.6991564295732948
1.79,11.680640137648698,0.2336913284493072,6.91,14.91,0.0,0.88,0.0,CamB,0.3911382526913817,0.6991564295732948
0.51,8.71043088303626,0.17723235738546972,3.47,6.36,0.0,6.37,0.0,D564-8,0.505439091902537,0.7031626991179729
1.02,15.138060063281829,0.29752828582525387,5.33,8.66,0.0,2.82,0.0,D564-8,0.505439091902537,0.7031626991179729
1.53,19.305246399356847,0.3801907421241586,6.34,9.09,0.0,1.19,0.0,D564-8,0.505439091902537,0.7031626991179729
2.04,21.923891605773836,0.43789953587916003,6.86,8.75,0.0,0.52,0.0,D564-8,0.505439091902537,0.7031626991179729
2.56,24.53969602705776,0.47997301336324194,7.05,8.17,0.0,0.22,0.0,D564-8,0.505439091902537,0.7031626991179729
