Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,upsilon_disk,upsilon_bulge
0.16,3.08704800341408,0.29957620180365463,1.86,3.75,0.0,30.32,0.0,CamB,0.3911382526913817,0.6991564295732948
0.41,6.532285054070229,0.7290483779855628,4.24,9.47,0.0,23.77,0.0,CamB,0.3911382526913817,0.6991564295732948
0.57,9.955113828217117,0.926018233737056,5.61,11.76,0.0,15.87,0.0,CamB,0.3911382526913817,0.6991564295732948
0.73,11.973008188198,1.0943683894360565,6.77,13.72,0.0,12.4,0.0,CamB,0.3911382526913817,0.6991564295732948
0.9,9.742573011030741,1.21041316981498,7.77,14.8,0.0,9.63,0.0,CamB,0.3911382526913817,0.6991564295732948
1.06,11.095076014826791,1.2756156583802198,8.44,15.24,0.0,5.86,0.0,CamB,0.3911382526913817,0.6991564295732948
1.22,13.001575779335836,1.2837461158323393,8.64,15.11,0.0,5.19,0.0,CamB,0.3911382526913817,0.6991564295732948
1.47,12.454188779166573,1.286090538505201,8.08,15.9,0.0,3.02,0.0,CamB,0.3911382526913817,0.6991564295732948
1.79,11.664934998382044,1.1684566422465361,6.91,14.91,0.0,0.88,0.0,CamB,0.3911382526913817,0.6991564295732948
0.51,8.105682938087359,0.8861617869273486,3.47,6.36,0.0,6.37,0.0,D564-8,0.505439091902537,0.7031626991179729
1.02,16.184643151358376,1.4876414291262694,5.33,8.66,0.0,2.82,0.0,D564-8,0.505439091902537,0.7031626991179729
1.53,20.48808357195252,1.900953710620793,6.34,9.09,0.0,1.19,0.0,D564-8,0.505439091902537,0.7031626991179729
2.04,22.03955085303717,2.1894976793958003,6.86,8.75,0.0,0.52,0.0,D564-8,0.505439091902537,0.7031626991179729
2.56,26.703877462640417,2.3998650668162096,7.05,8.17,0.0,0.22,0.0,D564-8,0.505439091902537,0.7031626991179729
3.07,26.728943673821355,2.553515148625673,7.04,7.65,0.0,0.0,0.0,D564-8,0.505439091902537,0.7031626991179729
0.45,10.914985041341923,1.1941072391847711,8.4,9.99,0.0,26.06,0.0,D631-7,0.4041956764669195,0.6946125185170313
0.9,20.856563238939852,2.0114827401346775,13.51,15.52,0.0,19.64,0.0,D631-7,0.4041956764669195,0.6946125185170313
1.35,24.36864317896446,2.695313212191988,16.7,20.76,0.0,12.17,0.0,D631-7,0.4041956764669195,0.6946125185170313
1.8,34.473638815375764,3.1689843553574026,18.72,21.37,0.0,4.5,0.0,D631-7,0.4041956764669195,0.6946125185170313
2.25,35.30223481656623,3.547936879740902,19.9,19.92,0.0,2.1,0.0,D631-7,0.4041956764669195,0.6946125185170313
2.69,38.31473545705919,3.903637103849988,20.61,18.76,0.0,1.13,0.0,D631-7,0.4041956764669195,0.6946125185170313
3.14,39.38832829733517,4.226637032632655,20.73,17.36,0.0,0.54,0.0,D631-7,0.4041956764669195,0.6946125185170313
3.59,50.88021107360153,4.533751272384545,20.61,16.32,0.0,0.37,0.0,D631-7,0.4041956764669195,0.6946125185170313
4.04,47.478917947484774,4.822412281974046,20.38,15.37,0.0,0.18,0.0,D631-7,0.4041956764669195,0.6946125185170313
