,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
0,CamB,0.42232593269674207,0.35084598561903985,0.49618837902457613,0.6960258625308342,0.5517390848979953,0.875723632542735,9.674228493480927,0.483900100809318,613.0976251348977,28.881178381828168,0.14743077202922425,820.1219802846634,9.433953569752486,9,0.49735937500000005
1,D564-8,0.4921485711195633,0.39151807672632183,0.6131107031006722,0.6990282118824813,0.5528631066861812,0.8794445397943542,95026.03147330297,13430.456986715559,517364.7883300691,262.77483711102144,34.56339188274111,1449.4895965404125,1.8438686269466467,6,0.5541093749999999
2,D631-7,0.38489817158946327,0.3130208700078232,0.47269633806519434,0.6953115476706111,0.5519353789443677,0.8808033574628442,688577.4317613546,218897.1373129503,1812836.6030954444,774.831340552377,242.3077952183425,2039.7909597139185,6.567750895702674,16,0.561421875
3,DDO064,0.502905527465702,0.40039863703205436,0.6284770632124871,0.6975628474811746,0.5559725520518992,0.8749266996763809,311437.74215702474,45652.503409019235,1796093.674296256,231.47983531181256,32.31945549169148,1351.8305042448128,0.670155182968918,14,0.5578750000000001
4,DDO154,0.41021717686762393,0.33262991226125405,0.5086390248118849,0.70651518313505,0.5656178271201705,0.893983064204784,23243.334174010186,18351.264049740308,31964.835944285587,20.85057193145358,15.278860468610002,30.523548958897717,10.568984104519508,12,0.5641562499999999
5,DDO161,0.3738871584346901,0.302103092196827,0.45503014844337053,0.6975687048364936,0.5604597868284259,0.8695688977765984,52846.99724972016,38656.399716396205,100248.78529465414,74.65242283541967,50.416812580347866,154.62482766738535,1.072259927490392,31,0.513
6,DDO168,0.47501568095543817,0.3784973939979223,0.592798103248519,0.6978338602984508,0.5549171354131519,0.8835739027254249,477457.19177976245,98656.00595951483,1984495.151050817,377.62500611088785,74.46775463735962,1586.047761654777,14.35232577664729,10,0.5610781249999999
7,DDO170,0.4962451605767685,0.3941057365455228,0.6238777021354864,0.705727346224428,0.5599556676932933,0.8931884770154015,16336.082765321418,14703.74458116394,18499.39394866976,13.805546189762413,10.882011478729783,17.76298521173515,3.2724419290266775,8,0.593546875
8,ESO079-G014,0.6756784192454632,0.5334042298668045,0.8334762691818759,0.7003719210686974,0.5534235022420488,0.8839221147783071,264911.090486641,162023.94496442794,1159388.9567006659,84.56466074426369,40.24848691105111,483.30218941376177,4.274121425893512,15,0.467140625
9,ESO116-G012,0.5301026529792201,0.4215054084451691,0.6584851686319831,0.6881852449590316,0.5516300534854542,0.8751860793919721,88777.63828248046,70628.9691110971,154402.66227761895,25.199105453113095,17.164550554948153,53.411518016967165,2.7902581321460733,15,0.531046875
10,ESO444-G084,0.49870216291791125,0.3940691100141743,0.6342133495213182,0.6980089072671728,0.5539139010603882,0.8843718453711887,54898.62363659382,31475.90269228171,418217.01178351557,20.17483495149506,9.913196475993388,176.86689787798235,1.3702179314125986,7,0.514640625
11,ESO563-G021,0.6693633420820299,0.5276112859424866,0.9327743156562657,0.6982029516684225,0.5660121860632278,0.8880231481124213,346089.2323855764,320545.26153027295,508444.9343808878,31.840420597756115,23.64299995827998,117.99306773504637,24.169530008596897,30,0.463546875
12,F561-1,0.645792815787158,0.48534169166680136,0.8017662652981433,0.698767050324829,0.5595708790798384,0.869907374533847,2908.9460417932705,6.589158984910817,19033.568977485484,3.9648681621292923,0.08885567229842785,276.0554473569081,1.0981173017724415,6,0.4321875
13,F563-1,0.5072874262431354,0.40392904321992834,0.6394489635933669,0.7007878003539046,0.556068005417537,0.8817282081710744,56678.18818579614,49100.38778477265,69825.64393987108,16.55159178705295,11.550229796829628,25.715013280055892,1.2426527575837185,17,0.5861093749999999
14,F563-V1,0.6106522631071133,0.4785339446444457,0.7518042153737403,0.6880529790738668,0.5499507390097298,0.8713046688725854,287.08960051820736,1.8246197250530736,4563.42480549947,9.216666798802944,0.07545912858749262,599.2381547229453,1.2343590848256054,6,0.47940625
15,F563-V2,0.5201398708763912,0.4146205260917045,0.6572446267141495,0.6948360864797795,0.5539316373423577,0.8745229068740684,254645.2219279764,83453.46982098496,2558789.8673346895,68.99354075838826,16.642303127241423,790.3683353670634,1.761928859350002,10,0.5347500000000001
16,F565-V2,0.49838402502082596,0.39480157496994783,0.6308910698000834,0.7076441728720126,0.5585112719585171,0.8847436584743544,380621.1911370759,76098.91033066562,2030868.415379405,258.6509356376864,43.93706771597762,1411.081061467559,0.6296891144380787,7,0.5309531249999999
17,F567-2,0.5370344004127737,0.42302073639282584,0.6733156127585471,0.6994645567139237,0.5571298727785481,0.8862372391333236,17692.883463111135,7704.173739890589,288359.2602618621,19.94555839437091,2.761147585382867,543.6069638968904,2.9127209396105833,5,0.466703125
18,F568-1,0.5070373473333906,0.4004732225380901,0.636856020510593,0.6971476723763621,0.5563272476522575,0.8779060999736766,264596.11317835795,111577.4745833712,1952020.604816124,67.78368342929112,21.857505661299363,581.231917743198,1.101056660998469,12,0.5134218749999999
