galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.4286098517609912,0.3443163908563446,0.5065332077119663,0.6915451892080319,0.5508386628911927,0.8869664806515932,7061.134128180175,5846.629376768457,8768.188918792783,84.13774976713304,72.82427491179038,97.89257565472806,0.874559753097477,16,0.5971875
DDO064,0.48705446018280196,0.38916896393264055,0.6218581155262916,0.7080015330731991,0.5707133089116836,0.8894919365858021,3031.330641450298,2201.04004801973,4638.492608199703,24.372602973928974,17.867430098583373,34.61066044951583,0.41765077782178694,14,0.5885416666666667
DDO161,0.5407868212426115,0.4467840253472694,0.6444373365063071,0.7004421432016278,0.5474742464058465,0.8850471136395428,5066.341014067749,4916.677190309197,5230.674776285826,94.36300061236764,89.66641941255087,99.63000965595499,0.2709571282651715,31,0.5991666666666666
ESO079-G014,0.4574785276928288,0.37847208766510704,0.557435378367996,0.7275702553653628,0.5620964213285522,0.9161006455538129,30751.406708348604,28346.149679629994,32741.487620467113,98.51838954005373,92.01090871046186,106.08148837494004,0.9642009762600862,15,0.5829166666666667
ESO116-G012,0.5719164396240017,0.45532460357979,0.7024580213678311,0.7153735005872158,0.5779463456078349,0.8947195354768317,12786.013974457663,12289.67241543574,13324.807850499812,48.386065155392636,42.66801945802049,54.750559913530225,0.9323014323750816,15,0.5911458333333334
ESO563-G021,0.32292889725669305,0.26876820588335426,0.3834031675788875,0.7265239274535199,0.5817748159959126,0.8931515497798597,99719.33212173913,94795.30221007775,103882.72984356784,89.37237094960102,85.95052493176053,93.51617690206994,9.795375162564344,30,0.585
F563-1,0.49433954099579164,0.38664658211312347,0.6326733825093078,0.6983705259385509,0.563218345017199,0.8532303557455405,12761.12309073691,11815.714379613033,13826.028158326933,50.64522110720438,43.43037954611755,58.32962794089606,0.5765473817587147,17,0.6033333333333333
F563-V2,0.5076757528088064,0.40559034677989375,0.6451999000803106,0.69126589202487,0.5503743314707495,0.8711419601431137,15272.696674542525,13269.289832611454,17764.838210861457,35.08645949480493,29.206774311278,42.6028074311011,0.2006093647002041,10,0.6022916666666667
F568-1,0.5015131606584482,0.40405930117321304,0.6173243096448542,0.7235219071322193,0.5625033188813064,0.8898526456365693,18863.256949714225,17217.048825549267,20948.503219693415,48.7516303963058,41.62328964571226,57.78315064275296,0.07855257485052114,12,0.6031249999999999
F568-3,0.4822659804739848,0.3793110037726159,0.610669162712125,0.7080714749168993,0.5575452566472416,0.9052385141302135,12384.86529243953,10785.312009785112,14139.627648786305,73.54738724978328,64.93014116360068,84.52104070682653,1.0964599421456875,18,0.5909375
