galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.4067252485375202,0.32945600842504447,0.49733080757180914,0.6973187611746108,0.551037101506846,0.8749454986899428,535.7046555906745,473.2764539938977,601.5277681228878,7.53937211173992,6.372036432306029,9.321684916323177,1.217240413246473,16,0.5856718750000001
DDO064,0.506967870405515,0.40364522436601,0.6461311521808438,0.7118608950368153,0.5641378075803516,0.8791577667809286,2643.7540238375536,1640.7343135011256,3912.691551830364,2.2441106185623605,1.5279088765144901,4.683658259623385,0.3983766960764128,14,0.52875
DDO161,0.49532986387384864,0.4096787922224282,0.5893171880303175,0.700849908959047,0.5605647392268776,0.884839234283295,341.3787543213188,314.2628251766683,370.0301706791975,7.413746673658538,7.012917295486693,7.867122105335654,0.2627138361206292,31,0.592609375
ESO079-G014,0.46216859939625793,0.3772299045676345,0.565379847173547,0.6958359097805922,0.5527420199446793,0.8790683122759062,1846.7029204970702,1550.527910433802,2150.8593846113395,7.854491526479592,7.266790464514781,8.530546485696545,1.1971162476288035,15,0.5741406250000001
ESO116-G012,0.5144354201285041,0.41401069404457946,0.635859577759504,0.6924595109316419,0.5540848925298814,0.8748213540851717,3459.0641216691197,2818.0638795792315,4098.787393432712,3.7145811162347657,3.402124178085705,4.130882505628662,0.7977731916977834,15,0.5909375
ESO563-G021,0.3208706251540361,0.265899318860091,0.38493431759244723,0.6944068176896464,0.5512029866011966,0.8711932552709177,7056.3773347059605,6291.569869135757,7779.400807343387,7.383606573448671,7.085574121989034,7.723020968631248,10.986249466095973,30,0.5843750000000001
F563-1,0.5008747791463721,0.3986975309353819,0.6327016911027493,0.7007476055051761,0.5578786158289739,0.8876495970760749,2502.6238975479273,1878.9601063565933,3293.886423599942,4.474903732743394,3.873305868071287,5.223948870647663,0.780025765187559,17,0.595015625
F563-V2,0.5175778168668199,0.4121936688039443,0.6487692124567466,0.6989119585140778,0.5530026804732326,0.882238655626587,6538.983095050431,4928.210470615941,8764.21665785202,2.999091420204948,2.5050197394136773,3.628851307704211,0.35618292856380457,10,0.594515625
F568-1,0.5019230130143302,0.39461963198116595,0.6329167200212387,0.7003571136022189,0.5586412988993944,0.8795476313511355,4235.508604875721,3342.214384555501,5486.786637523894,4.120119246254088,3.503265491001398,4.8182310726780955,0.17981788631668616,12,0.59603125
F568-3,0.4954302093318812,0.3918574241976673,0.6223382355865261,0.6990613156426865,0.5579846360222079,0.8705536371551204,1245.5379235919731,992.7837509234091,1542.0312484451085,6.201973766976223,5.328035382623989,7.261218904467096,1.4499536978555205,18,0.5935625
F568-V1,0.5113951843177015,0.4043963779607245,0.6373017460273294,0.6958483016333852,0.552127341527012,0.8761461591238662,6138.058090739059,4912.523732517901,7823.901068056288,2.988436584966565,2.5674958257407106,3.459589848170256,0.06723101608830273,15,0.5952187499999999
F571-8,0.22765160929264838,0.19529235015560104,0.26823322255343346,0.7036531348598224,0.5588933482315855,0.8895385059624787,2108.2685622913077,1860.2465073002725,2385.522962923309,7.006330296869606,6.408653545893758,7.715127456898651,1.5007865229149477,13,0.5954375000000001
F574-1,0.49134580922588067,0.39346319600675117,0.6174075006600859,0.691343036510625,0.5510496609502767,0.8722876221665414,2802.217640046631,2348.511212861017,3328.560614681438,3.6227417583926207,3.3000595975378033,3.99544722725999,0.21238612427365253,14,0.59440625
F579-V1,0.5224273348054357,0.41068355769558507,0.661931692205676,0.6982710328836182,0.5512966509827478,0.8776885559602752,16722.846803072298,11642.885991271076,23640.6692654283,1.6671688662332511,1.3897545702997558,1.9946192004256018,0.28029874953531564,14,0.595734375
F583-1,0.485785555234467,0.3885148083403303,0.6131372087691753,0.7076719904024013,0.5612043765312976,0.893006990821764,1411.3608127850841,1255.830418645063,1598.3364108163455,4.556598728065245,4.140841039027129,4.996535955473546,0.22081562424512852,25,0.595234375
F583-4,0.5198261345675562,0.41507287519655134,0.6582155987632669,0.6938459698294575,0.5505693148978205,0.879563993507041,1994.3815325639694,1149.9299169397912,3098.6161256300547,2.812821177890585,2.1736729156261556,4.0027629477736015,0.4567108785550327,12,0.57565625
IC4202,0.33423973949317165,0.280058375851913,0.3932030427842859,0.4997405383934384,0.40923234413237836,0.5920666579565513,7312.435902946993,5891.032923747666,8962.11677365001,5.095940643599473,4.652118241045725,5.613321306471438,25.4560352542379,32,0.569890625
NGC0024,0.47268490156830834,0.3731175443071686,0.5840905046434557,0.7003655345551835,0.5608287130471279,0.8796608485207137,22130.21807693399,18891.09021288992,25384.81573646865,1.4771702957510144,1.3790030165414353,1.6023443494391012,0.9232337305413304,29,0.5914375000000001
NGC0100,0.501947468489132,0.3965383953090408,0.6228657715090338,0.6975574428281451,0.552040768966805,0.8772937532529655,1434.616782766978,1104.6460295510406,1784.6022017131854,4.860053179540509,4.231032740147317,5.78986075562013,0.11159338169638913,21,0.58909375
NGC0801,0.71749370871358,0.6938365021739624,0.7413212095120498,0.7111074060601184,0.5567409203991507,0.8864085202094889,52.07513184810902,36.87808710101257,70.62826008905478,63.59286422576784,46.8621542501959,106.49514848833773,7.485199707105401,13,0.5177968749999999
NGC0891,0.2514198792358627,0.21801068494154618,0.2903714261169094,0.5552419500891133,0.4550099789523717,0.6612026988008887,6546.616558019334,4954.848917999454,8547.958769036426,4.7661044225169835,4.244274012461704,5.398514977666969,2.101763868057701,18,0.5815781250000001
NGC1003,0.8199384161499466,0.7658796107973067,0.8760100347732683,0.695686024330236,0.5551270891069024,0.8786766124700031,291.6352555348075,264.51641369101446,327.67972344847834,13.525367756541687,12.607013115716027,14.382001629566806,3.7173294306609947,36,0.590953125
NGC1090,0.3525904346795129,0.28825583434825597,0.43533934153275194,0.6979980396240762,0.5628552179331728,0.8712226045187275,3243.101137620288,2061.5054320344575,4430.984478590973,5.371248573155162,4.751453362019728,6.460298839209815,1.6567841513121775,24,0.571203125
NGC2403,0.8372168193439505,0.8127823032750445,0.8610827207523343,0.7002582020817245,0.5576400767026897,0.8841708325513158,1365.8905555021029,1291.5970905340048,1447.3089245180577,6.896933533521304,6.673169805143843,7.1209398146317096,8.982141205066325,73,0.589953125
NGC2841,1.1904196478684146,1.1266905736040809,1.2472728338412509,1.0345859722704436,0.9664276381209255,1.1014759388441904,603.1497318961473,527.1769888546148,701.8216599604591,21.2751373685422,19.529237365706994,22.976015986226383,2.149151825743037,50,0.55303125
NGC2903,0.4250822871763765,0.4104641888392589,0.43874801993064616,0.6960003379602594,0.553633766117824,0.8715074736874494,4128.6857676994505,3707.3908474271348,4624.557059858905,5.303305808963594,5.0267332660744986,5.583049040728687,7.5049268321353555,34,0.593953125
NGC2955,0.38379051660333685,0.32214413095127026,0.4501013851554821,0.7936995876870967,0.7527388249038323,0.8287015781868183,1167.1937304445737,755.3172674684505,1729.3465560089235,12.186566161414406,9.901537510208296,15.352104824612162,3.7867403682584913,24,0.583984375
