galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.4601072546185497,0.37474283158144306,0.5620426968585409,0.6938169493366172,0.5488180629012578,0.8744710490061594,128.16697634023595,115.17462905312107,138.17381715856732,8.2002944247765,7.491727532395573,9.461482317435014,1.3882835908409041,1.1022795029206167,1.650780184207683,0.6008042364908107,16,0.5195468750000001
DDO064,0.520026053982775,0.413796194138009,0.6496562199277186,0.6998456391139519,0.555943486181232,0.8805106841320547,373.4217629429797,75.11192015574655,720.8558911127878,4.747782182803586,2.3734952851066975,42.1426592393762,0.49280069732621035,0.13892458505850047,1.3399001190738375,0.6450347931318041,14,0.39871875
DDO161,0.6105090695755891,0.4809419869536752,0.7537409216285492,0.6957766264888181,0.5482135787348364,0.8788824836864778,55.98276719109076,51.80303946901021,61.33437742033379,12.45225957147388,11.667602257606285,13.116325579012704,1.0650756781132256,0.8371974834818576,1.303958078959099,0.2463594331182318,31,0.5209375
ESO079-G014,0.47382205775906727,0.39620011842405845,0.5682399272735081,0.7010446529049333,0.5569900796212561,0.8813804170242694,332.2056215922437,286.9322405708455,375.5856738596311,12.632767312441793,11.99944140701311,13.383900860395965,1.2733581080517509,1.0951577579430254,1.4494079600733787,0.563379646182886,15,0.538953125
ESO116-G012,0.5718759110870494,0.4516465483259358,0.7382413595531196,0.704755797630854,0.560013076222888,0.8896757810299137,577.5662292473639,431.3890816842035,741.969028376589,6.054735354229889,5.178377158954557,7.126354487961532,0.9538118821394383,0.6913093506058543,1.215994636892136,1.0425239644217625,15,0.491578125
ESO563-G021,0.23136694634368044,0.1955428906495944,0.2743424959935519,0.6960126228874051,0.5578968713122856,0.8735455051582599,1289.5962408675653,1215.1603205436481,1357.9780991859752,12.721863956712166,12.370032055287268,13.07828814230593,1.4720138217168524,1.3936819698000544,1.5493280152427344,2.252323871547924,30,0.5490625
F563-1,0.49956291299206584,0.3985668184322856,0.6289144690137333,0.7052539263212657,0.5591069881058042,0.8976501581902847,564.1615117172325,451.18691120114795,675.5628756366212,6.660117104701865,5.851323185911388,7.404608577308876,1.3687303238116924,0.9282208003035082,1.8101843412126661,0.5195164925481511,17,0.524640625
F563-V2,0.5143102449978901,0.40963827996247415,0.6486497785065534,0.6971723421688205,0.5580363918975688,0.8782435721975591,1418.5830380495106,1047.609330269543,1765.944520008474,4.38706036248338,3.8132104120482104,5.136493434105178,1.4216595786864126,0.9089244697431955,1.93663127189834,0.0851977996492274,10,0.5334218749999999
F568-1,0.5084209757639208,0.40322213043379135,0.6360822358842214,0.6920019151868901,0.5534468219227164,0.8737948763227251,838.4928451821448,647.5817982483611,1067.445132097169,6.244691482194307,5.326173571313121,7.231464516698021,1.1368793765264553,0.676806104459819,1.5447312428896973,0.04961128608885447,12,0.515140625
F568-3,0.491242115586385,0.3866412738428052,0.6190706411728556,0.6932359895155501,0.5526202169119787,0.8647720590817484,289.1666045601213,251.05657276319326,327.50275530610674,8.414512909942427,7.734750809569246,9.232681616584811,1.5586134876829623,1.307917153916453,1.7854106449336458,0.38446295636538064,18,0.554109375
