galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.39290900300443704,0.3190218144051102,0.4866926118288997,0.7017761713844641,0.5559137475944486,0.8829955044347083,997.2034454862686,746.1933643994299,1354.0420757608615,1.0471878279349036,0.8223425540032271,1.3214188869051318,12.206656162802332,16,0.591875
DDO064,0.5103025290373893,0.4063132343259417,0.6465391725497383,0.7097661730531228,0.5645671438718672,0.8906407083406654,5852.647561929801,3529.6264635428433,10017.070297310656,0.28402712045466205,0.192175935353815,0.4134265704289401,1.1971320876370322,14,0.59328125
DDO161,0.32187022350066025,0.2658318202434965,0.3872915498965352,0.7023097475995466,0.5572483550538566,0.8774151771746475,539.9794594726578,448.91337518667274,644.7043329991277,1.4765909804973476,1.2966412971216388,1.6982042720696893,1.5801817466324133,31,0.592953125
ESO079-G014,0.5769142271910491,0.47044532815691886,0.7003503808134931,0.698692896195831,0.5600085892929612,0.8811299626224832,3033.8212172318094,2081.793604759113,4229.855499064415,1.3972238445158427,1.1489580670995645,1.7463285621696731,6.275734031643676,15,0.56478125
ESO116-G012,0.4286554879831678,0.3493058333303357,0.5165031660683111,0.6998340530287945,0.5586891532338937,0.8775241923922222,6120.7360378833455,4606.516980082385,7972.701761099876,0.6702200570301979,0.5683013751810637,0.8069154381393489,3.8526832622050233,15,0.588671875
ESO563-G021,0.5777627210494041,0.450646281470167,0.7542410943630394,0.6957618325708544,0.5536180579749224,0.8889266451925755,7944.620625144049,3654.5704383581724,11799.565869580423,1.4112120882328791,1.198149623582808,2.0216059153391095,25.541442185631677,30,0.524546875
F563-1,0.5015785139511018,0.3961570040072363,0.6391160568175207,0.690074869476441,0.5508713341771257,0.8672477398323841,3947.4254536904077,2141.7870765631587,6353.450094158622,0.8025730980828784,0.615643097302729,1.171464943873133,1.1637012837641503,17,0.571546875
F563-V2,0.5126560155322359,0.4056282643821143,0.6451955398662432,0.6952278665468695,0.5560556968044262,0.8703835735245957,8672.34827658638,4525.19605499326,15797.633593339093,0.5894239836753091,0.40518757395521315,0.9111442220044232,2.2845215710962705,10,0.593734375
F568-1,0.5104307119512741,0.40099525588746426,0.6400559468890995,0.6972032712413043,0.5521546112647844,0.8795562695291552,6016.9396163179845,3297.9173778393906,10072.122757434132,0.8324746001061532,0.5923142509088015,1.2851509444657907,1.4409089636321297,12,0.58603125
F568-3,0.5397800834837595,0.4279780744156082,0.6739792597205285,0.6979702101415806,0.5516050472114229,0.883117880130557,1992.6525381149474,1230.0708205351814,3031.0778475318275,1.1188531348874995,0.8398364826263148,1.571808196999493,7.7719016833682995,18,0.590984375
F568-V1,0.5057488550621518,0.40316564853395515,0.6322414464198846,0.6962951727940934,0.5557647751664603,0.8748840536243997,13828.45301821253,9256.423565922416,20494.238670871746,0.4514664847644159,0.3539984287649391,0.5882271857948275,0.19311455867065347,15,0.586640625
F571-8,0.27688460360233896,0.22881964048014083,0.33228168615795084,0.6947531624124662,0.555557538109915,0.868168205668089,3814.062560449621,2884.5656247259126,5005.790788472628,1.197774988176947,0.9907771522080329,1.46370972585377,20.52183223157586,13,0.591
F574-1,0.5064510264860129,0.401333096595933,0.6395017216839106,0.7034765130803374,0.5596748313112838,0.8830394213340778,5973.466716911697,4322.633163338858,8063.232258671661,0.5623494698905038,0.4726890369496287,0.6856095406575787,2.0735985717205208,14,0.58603125
F579-V1,0.5396962636539464,0.4271845594883705,0.6808719139844325,0.6995872372285709,0.553535015373387,0.88606196489364,3.023329178011689,2.0234809102537463,4.671244531961375,62.73461866612197,50.61731960816816,77.0323503957327,0.2878729430732598,14,0.5411875
F583-1,0.5048423760399158,0.39947971948968425,0.6340881549589558,0.7100021780328669,0.5612688650065784,0.8894530633512655,2525.1834559123618,1929.1486013342535,3267.2081034570488,0.7617650160952337,0.6382013709160536,0.9157809216864689,2.2321248193745253,25,0.59275
F583-4,0.5192448101131283,0.41270366510160006,0.6500824542427988,0.691946856053802,0.5510087253876822,0.8772421204898464,2299.145713294317,1284.4568893238759,4131.849855700154,0.6607709366044388,0.44729812739480324,1.0123362912438252,0.4605168121972472,12,0.58528125
IC4202,0.4120474628023413,0.3441094593930778,0.4997474018546772,0.535745396596687,0.4455102786280047,0.6395240321508315,14594.149836274022,8895.908283519495,20017.116008656878,0.7773477917338284,0.6718137221890411,0.9688721454293188,38.2203906470343,32,0.50125
NGC0024,0.5795977402452067,0.45807540152721915,0.7512614279029626,0.6910712776069274,0.5479399273463903,0.8727656414586613,35469.7339967176,26353.203832124942,44681.79517105909,0.2587559121018236,0.22979896530545568,0.29909474013634435,1.0507559055219513,29,0.583296875
