galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.4136326850985846,0.33630630514410376,0.5044884168100167,0.704216825659026,0.554020406327012,0.8856299686488113,460.81647474687884,412.9807662543958,513.9873601546863,4.84726210277484,4.128624667213167,5.844069066718084,1.125993412258912,16,0.59028125
DDO064,0.5143598031608975,0.4024406756582581,0.6597251429296953,0.6961829135496262,0.555980519928548,0.8745673510038414,2351.252818008931,1523.228466462197,3515.278153664251,1.3757594573338308,0.9340701009389835,2.5667003377589532,0.4055810017873408,14,0.53296875
DDO161,0.4867422364106913,0.3999929387910878,0.5896283365341584,0.7015716408798519,0.559399828184317,0.8855571968554466,313.213647842702,281.19901443881037,348.7600162952369,4.4557829494059105,4.123481065861498,4.827255872754355,0.33710057414694633,31,0.5925
ESO079-G014,0.5139173746876541,0.4167795660933551,0.6243666536005412,0.6990699819449488,0.5561087648085059,0.883032662009513,1602.8827528121942,1280.057637813822,1938.8481813057406,4.732694235704113,4.242361274999234,5.328863775179546,1.5676098193378436,15,0.5735781249999999
ESO116-G012,0.5245859211039107,0.4193639403915619,0.647565512911658,0.705796816112331,0.5596145249361582,0.881459066875175,3296.661742889821,2567.546275147167,4126.875928508622,2.1265982696490484,1.8659549103582422,2.4585741222919273,1.088960920559895,15,0.5901875000000001
ESO563-G021,0.496172561474611,0.4252374064544956,0.5674571868025854,0.7032376466641644,0.5596812646851123,0.8781801860360441,6342.671331263503,5193.86184288409,7685.605644510123,3.7156302671864805,3.3915878627858747,4.075036167908463,15.5683110294662,30,0.585203125
F563-1,0.49983177568890236,0.40032525417273307,0.6274592027386392,0.6897950496143581,0.5510342759593957,0.8719905201821204,2678.372562836728,1878.966547084066,3884.688625822924,2.247001476004696,1.7938561691725567,2.795897148205341,0.8317511855403571,17,0.597171875
F563-V2,0.5038542148305777,0.4021888226797168,0.6330337276289132,0.6921312167428924,0.5547204778515248,0.8666283265235165,5912.961758269785,4281.638947011637,8243.625756347647,1.7430101021254008,1.3740878110008863,2.2123845309124754,0.5006822307053328,10,0.596625
F568-1,0.5012013037918314,0.398910755446131,0.628312663973065,0.6965412989936433,0.5567799203518381,0.881040703644483,3984.285467489278,3004.7370133344994,5380.817940933832,2.3783052217955305,1.9392502724944616,2.8958184716495095,0.23242512049000927,12,0.594078125
F568-3,0.5042939490547099,0.40033894211561905,0.6363955638695975,0.7042459876807611,0.5600097162302812,0.8881760192579109,1094.0430863791096,855.871614138937,1377.1843624367837,3.7627894914962865,3.1741415163841955,4.475821647638397,1.4496899158012309,18,0.5934062499999999
F568-V1,0.5052091832180429,0.39838135105616085,0.6404012934039907,0.7078956049334276,0.5621421010124782,0.8896381107429072,8182.967100420698,5638.072811320449,13099.653737084836,1.3504329395807158,1.0032415475988485,1.7300412990034524,0.18077619459721106,15,0.588140625
F571-8,0.22893144435142487,0.19662502907010593,0.2690972523188833,0.7030161266551399,0.5596879577634951,0.8844844483629579,1863.5983325478185,1582.3104061920048,2157.784412820831,4.33784230398557,3.8631151133545862,4.984286734155216,1.76461858337048,13,0.5899062500000001
F574-1,0.49499784447550527,0.39326017838495536,0.6233671772832625,0.6984819275432093,0.5563518790379102,0.8861914168206468,2901.4435982202335,2301.339257025405,3685.3308526718865,1.934330132988162,1.6712600000989124,2.2221880765219817,0.47618660605220253,14,0.59390625
F579-V1,0.5120133932805163,0.40695899149725273,0.6528787907466592,0.7017878564730801,0.5523619369786453,0.8818152840404937,41464.68686223815,21383.783987804258,243066.8307013145,0.5038310710823029,0.1937997312686083,0.7274117277676262,0.22175106335691494,14,0.5510312500000001
F583-1,0.5001376710608108,0.3994087296199021,0.629020996023321,0.6986949597527087,0.5528705732782493,0.8664614638293384,1294.4973688017922,1120.364065476542,1515.5180987091614,2.690224249402356,2.363633274472341,3.0447038621335083,0.3854665414804952,25,0.5938125
F583-4,0.5068292655858232,0.39876137566658715,0.6406474950870226,0.7065706138141354,0.558692134938974,0.8837417172606733,2311.471299299494,1351.0280179019064,3670.919526357637,1.419355429803994,1.0625831010997677,2.0268611962233556,0.3107459538918856,12,0.5855781250000001
IC4202,0.43842331629308207,0.3791622666308122,0.5004892981483827,0.5340376286322885,0.45174454411437304,0.6265853165270199,8465.993104376654,5879.156472022803,11972.35319966804,2.3050463399889414,1.915832679972772,2.7806396310175585,30.872954204301966,32,0.585796875
NGC0024,0.5697795994796663,0.4612513986312583,0.6945545033265249,0.7034472249829076,0.5611708075614078,0.8866114970390769,27623.155189400517,22360.973246052967,33832.209234856695,0.6372101288539433,0.570890407113569,0.7100098238413372,0.4144495004771789,29,0.5894843750000001
NGC0100,0.497039019961111,0.3976654075094993,0.6173988004823047,0.693118272408256,0.5533426472138436,0.8766707724838776,1299.6186234709228,988.1743202770155,1649.09685322865,2.9585872465305796,2.5134899255478214,3.580002262553763,0.10769994001741391,21,0.5884687500000001
NGC0801,0.40207310800505436,0.33325293546658336,0.7166243720004063,0.7130277652445065,0.5560367920778184,0.8967839094491679,246842.20127727336,49.466323924761035,46023573.35185754,0.3444502784740973,0.025717079106457885,36.64293828127372,13.010939857539462,13,0.33484375
NGC0891,0.29818539112837217,0.25958461781510234,0.3403622431650432,0.5908223606636874,0.48066096938932146,0.6908816418855137,5434.396735472558,3456.8086325583404,8847.727938140635,2.7479446940475016,2.1246413293459856,3.50965251416538,4.337632217678549,18,0.578625
NGC1003,0.7076384151321847,0.612092316158007,0.7862901722472239,0.6975748884567858,0.5490260500417783,0.8782485860006046,447.67914242797485,331.801082858794,628.7549651544947,5.794088488867923,4.7430274394429235,6.966959830079954,2.8852767748539754,36,0.5719218749999999
NGC1090,0.4720920141344461,0.420025112795442,0.5305166843462137,0.7075283303532537,0.563794086466821,0.8884451893205414,2750.0258778668267,1763.5313326405858,4181.026351657806,2.772315722660173,2.246121540660867,3.480455458448542,1.62473328260232,24,0.5913437500000001
NGC2403,0.8326239129919549,0.8088563028286087,0.8548300051830641,0.7020634701888343,0.5614122637046725,0.8867688432881862,1545.1565828318364,1430.6004018996844,1681.4799720883523,3.5380497546103373,3.3609547288901975,3.70946835964203,10.313948842963791,73,0.5874375000000001
NGC2841,0.5565240853105351,0.5164383651811233,0.5998728607578999,0.724496137935679,0.6694912552356208,0.7840033043474401,4412898.005805847,161893.11757115897,122196397.4698698,0.12279973021368472,0.02342846598952258,0.6447798033449637,1.6392259558935967,50,0.517671875
NGC2903,0.33473916282414323,0.31207758009810727,0.3596020899128194,0.6907826954447045,0.5457473186060483,0.8773738514077525,23199.031549482308,15519.093782226475,34939.71922065284,1.1478679676901336,0.9325442937844478,1.405675075137292,6.86429593360449,34,0.587515625
NGC2955,0.39923453643644996,0.3384520277473056,0.46637483241093686,0.7909778832589202,0.7433428958810857,0.827532515104983,925.8214117393549,544.2329380031878,1577.1475728266992,7.741361313881493,5.626713145445081,10.785573948216191,4.039332205835922,24,0.55346875
NGC2998,0.34817528587447133,0.29573677682210714,0.42603725196280634,0.7047881663514424,0.5626933438733134,0.8877077430023066,87260.513782372,41177.52771628639,160739.60615045083,0.623586293433057,0.45806912870784056,0.9097307642577152,1.174558015478501,13,0.48203125
NGC3109,0.5018307141368301,0.40360837425901636,0.6274973888642369,0.701745615956122,0.5561831771828163,0.8842902812271238,991.540104577768,919.9468548090853,1068.6686868330517,2.9747289208411876,2.769286221601022,3.202270865521386,0.15915767569294367,25,0.592421875
NGC3198,0.5081045537311131,0.4696871280278856,0.5530649847122426,0.7024460802453782,0.5549388590705686,0.8827659886215189,2721.598356343189,2157.6886094367596,3341.608339175491,2.7201503196542642,2.4503203984138735,3.060101331485275,1.3056714777041503,43,0.592171875
NGC3521,0.5862739794051215,0.5711987906155608,0.5998222873293827,0.706099731825121,0.5601153986244891,0.8805121758532171,655.3729634803167,375.6030113039107,1007.9991218844727,11.396405704210745,7.559008702817713,42.12210443490651,0.19854363064844682,41,0.481375
NGC3741,0.6494185525631446,0.5164736359621491,0.8135654749141092,0.6899476277329206,0.5462488892240898,0.8808224631825995,1227.0194904141172,1059.6327658846787,1453.0022221072338,1.703353868744913,1.5003999689973373,1.906961623289717,0.9305359348237351,21,0.591015625
NGC3893,0.4306163680101486,0.35222227911453585,0.514351924370369,0.6979937510185571,0.5523094292607964,0.8842756601522418,8535.205945010046,3429.8525072178936,88892.87281483323,1.8071368741813087,0.5305515330788222,2.976117959388318,0.8701567511290341,10,0.5158125
NGC3917,0.5866509014584568,0.47678927591538733,0.7099741875060986,0.710071083403948,0.5658616505984184,0.8926299813638989,2392.7994300904,1746.1915636210445,3185.6412572646564,2.7008746765849243,2.327736496968256,3.1640482306175084,2.086084137402171,17,0.574078125
NGC3953,0.5469697468601108,0.43996972842557913,0.6876742948791801,0.6947162034390137,0.5546982794071973,0.8819668550904539,1496606.4786572845,24655.638106034512,63669549.2578617,0.11348818367806598,0.0170046774418097,0.9036948152831344,1.0199573188635263,8,0.44910937500000003
NGC3972,0.46138448646695834,0.37292240867185245,0.5777347438060794,0.6901246442135923,0.5481986614864793,0.8711570433349458,3495.51972605818,2523.9367039765466,4689.379883115659,2.329286364779057,1.9220549260083675,2.8866733408977,0.9788835898365607,10,0.58803125
NGC3992,0.6998229839470772,0.6380927665667548,0.7678741584130612,0.700633649644324,0.5580450164278726,0.8751091944517183,1251093.7056043954,16820.80987956305,70264987.82314852,0.1848654404992823,0.02446508118203255,1.5901723251854243,1.3288112744806124,9,0.5331718750000001
NGC4088,0.44747255278719333,0.4166291306074311,0.47290881111582017,0.7116014181823732,0.5767740464498525,0.8906432691709222,121.46947255431803,105.22112386248358,200.47305006873555,118.60176383674752,16.900158716894467,1134.3429752042796,0.6131040211261114,12,0.432609375
NGC4100,0.5225501103105051,0.4711958764141953,0.5766182330416608,0.6939261671610369,0.5550295149821637,0.8780810400535908,1372699.053891098,30642.633071922242,79281907.13523334,0.1275256243716846,0.01668964478192658,0.8535049859608519,1.232450126183808,24,0.5139374999999999
NGC4157,0.5138225857322146,0.44496680071704137,0.5625732728665805,0.6497118279290179,0.5200009662855719,0.8139188585099938,360.9273295755814,216.81635812704258,844.230561975141,11.039491746552565,6.183692783933614,17.31749012695816,0.39130223176917034,17,0.5075624999999999
NGC4183,0.5299333281495329,0.4281617461494132,0.646893427720035,0.6971211830510755,0.5574672836206672,0.8722338597293795,5568.075531077982,3975.7554454265373,7758.778238818184,1.3504365074987499,1.1326404925385707,1.6016536169548823,0.12857957584160742,23,0.592328125
