,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
0,CamB,0.391090689300032,0.32176186544586827,0.46820749381168897,0.6988684655963779,0.5557119134046384,0.8774109622493839,7241.775306065946,3.1149235942761297,7782934.49079817,84.52936839849477,3.7528391916726407,914.7830395801693,9.721809040895877,9,0.461203125
1,D564-8,0.5107144981303121,0.4052773679476105,0.6580237559045179,0.7051047716659785,0.5656947615984814,0.8799786954243173,1230.7662231387355,896.5646863981818,2024.8580137313115,1.457176091826655,1.059182328851602,2.223406484351772,0.1493982515364267,6,0.5714843749999999
2,D631-7,0.4085062992647222,0.3315719061536531,0.5008108739184318,0.7084405140270281,0.5673316515767982,0.8888467404618782,10397.1015433055,8448.258300062598,13409.786154873145,4.680472605168476,4.017653171693996,5.593887756098877,0.9067614978072799,16,0.593328125
3,DDO064,0.5148993675324071,0.40838353492343277,0.6489980322996162,0.6979053064037308,0.5623284411044767,0.8776402354890074,4374.33389824866,2909.412793632535,10011.718649128388,1.3454821469834233,0.9075144373887554,2.473873544714598,0.4360842311777217,14,0.54525
4,DDO154,0.4529893714684431,0.3672935176178228,0.543920706715029,0.7077538141573582,0.5641232875078108,0.8881591720218172,3437.1380777555873,3304.4793551869157,3576.6791864548595,1.6172021431408978,1.5367174954009732,1.7015524812921434,2.4423862894717705,12,0.600109375
5,DDO161,0.5082590596957375,0.41825747328199886,0.6109816508977332,0.7020824016390653,0.558378875295366,0.8824723507890418,6225.897574088369,5910.71426221366,6594.140251528494,4.47194728844345,4.128507705614705,4.846844630581165,0.35956124637848846,31,0.593640625
6,DDO168,0.4764983874023043,0.3860973827165749,0.593642695174329,0.7009501701656529,0.553411638927113,0.8825261966274974,8821.637501641697,6569.442219974852,13460.025746319157,2.8309853062701573,2.262909362750417,3.7347343782358626,5.907146272699912,10,0.5844218750000001
7,DDO170,0.5018943955617724,0.39878870811636835,0.6209690924412804,0.6992464779090327,0.5569047076867282,0.8803386720892514,3965.941498317954,3682.949810896567,4232.866879846329,2.1528430054292795,1.8419016159890256,2.4518290311328115,2.0010620261248535,8,0.595734375
8,ESO079-G014,0.5203906877380061,0.4252782342009737,0.6265668551782766,0.7112056737643503,0.562628919436135,0.891253112736622,35718.049917175405,32603.697998061627,38892.392508667544,4.753171907140948,4.239405914561756,5.396182946581979,1.5218712675893074,15,0.576890625
9,ESO116-G012,0.5481654123231806,0.4373180670533669,0.6784613988687432,0.7105418595964136,0.5642197085354076,0.8928386064637194,14903.126193060007,14086.015052765708,15875.585338041228,2.153827840410269,1.878206339421769,2.527026472734712,1.1671982330157733,15,0.591078125
