Complexity,Loss,Equation
1,16.174694,"f = #2"
3,7.722103,"f = #1 - #2"
5,2.1278763,"f = (#2 - #1) / #1"
7,0.8381648,"f = #2 / (#2 + (#1 * #1))"
9,0.2978592,"f = #2 / (#2 + (#1 * (#1 - #2)))"
11,0.254369,"f = #2 / ((#1 * #1) - (#1 - (#2 / #1)))"
13,0.22398654,"f = #2 / ((#1 * #1) - ((#1 + 0.08711255) - #2))"
15,0.20410149,"f = (((#1 + #2) + #1) / #1) / ((#1 * #1) - (#1 - #2))"
17,0.18922745,"f = (-0.530015 / #1) / (((#1 + -0.39180928) / (#2 + #1)) - #1)"
21,0.17239647,"f = (-0.529974 / #1) / (((#1 + -0.39174634) / ((#2 * 0.4788758) + #1)) - #1)"
