Complexity,Loss,Equation
1,20.699825,"f = #2"
3,12.686396,"f = #2 - #1"
5,6.9441175,"f = (#1 - #2) / #1"
7,3.711979,"f = (#2 / #1) - 0.2046864"
9,0.12908891,"f = #2 / (#2 - (#1 * (#2 - #1)))"
11,0.09591052,"f = (#2 / #1) / ((#2 / #1) + (#1 * #1))"
13,0.095181584,"f = (#2 / #1) / (((#2 + #2) / #1) + (#1 * #1))"
15,0.06780303,"f = (#1 / (((#1 * #1) * #1) + 0.535421)) / (#2 + #1)"
17,0.067802876,"f = ((#1 / ((0.5354191 / #1) + (#1 * #1))) / #1) / (#2 + #1)"
21,0.06502317,"f = (((#1 / ((#1 * #1) + (0.53541905 / #1))) / #1) / (#2 + #1)) * 0.14052227"
